circuit_name,family,qubits,gates_K,gamma,C_original,C_half,C_quarter,C_double,log10_C_original,sampling_feasible
hidden_shift_256,Hidden Shift,256,1024,1.0013351134846462,15.37109397337186,3.920598675377507,1.9800501699142643,236.27052993822872,1.1867047776943764,True
hidden_shift_512,Hidden Shift,512,2048,1.0013351134846462,236.27052993822872,15.37109397337186,3.920598675377507,55823.763317291436,2.373409555388753,True
hidden_shift_768,Hidden Shift,768,3072,1.0013351134846462,3631.7365188188833,60.263890671104896,7.762982073346872,13189510.1421227,3.5601143330831295,True
hidden_shift_1024,Hidden Shift,1024,4096,1.0013351134846462,55823.763317291436,236.27052993822872,15.37109397337186,3116292550.904973,4.746819110777506,True
qaoa_12,QAOA,12,48,1.0013351134846462,1.1366500789947922,1.0661379268156594,1.0325395521797989,1.2919734020788676,0.05562678645442385,True
qaoa_27,QAOA,27,108,1.0013351134846462,1.334013638010725,1.1549950813794512,1.0747069746584188,1.7795923863986098,0.12516026952245377,True
qaoa_53,QAOA,53,212,1.0013351134846462,1.760698415933579,1.326913115442597,1.1519171478203618,3.1000589118710145,0.24568497350703888,True
qaoa_105,QAOA,105,420,1.0013351134846462,3.0671455200356625,1.7513267884765717,1.323377039424733,9.407381641074833,0.4867343814762091,True
qaoa_127,QAOA,127,508,1.0013351134846462,3.8789735953063733,1.9695110041089827,1.4033926763771367,15.046436153084052,0.5887168233093196,True
qaoa_200,QAOA,200,800,1.0013351134846462,8.454990180944622,2.907746581279844,1.705211594283784,71.48685895986996,0.9271131075737317,True
mod5_16,Mod5,16,64,1.0013351134846462,1.1862303970716948,1.089142046324397,1.0436196847148855,1.4071425549368708,0.0741690486058985,True
mod5_32,Mod5,32,128,1.0013351134846462,1.4071425549368708,1.1862303970716948,1.089142046324397,1.9800501699142643,0.14833809721179708,True
mod5_48,Mod5,48,192,1.0013351134846462,1.6691952716792433,1.2919734020788676,1.1366500789947922,2.786212854996343,0.2225071458176956,True
mod5_65,Mod5,65,260,1.0013351134846462,2.0012979935569084,1.4146723979624782,1.1894000159586673,4.005193659014907,0.3013117599614628,True
mod5_80,Mod5,80,320,1.0013351134846462,2.3487956992792745,1.5325781217540835,1.2379733929911756,5.516841236952816,0.3708452430294926,True
mod5_96,Mod5,96,384,1.0013351134846462,2.786212854996343,1.6691952716792433,1.2919734020788676,7.762982073346872,0.4450142916353912,True
mod5_112,Mod5,112,448,1.0013351134846462,3.305090381308572,1.8179907539117388,1.3483288745375657,10.923622428618442,0.5191833402412896,True
mod5_128,Mod5,128,512,1.0013351134846462,3.920598675377507,1.9800501699142643,1.4071425549368708,15.37109397337186,0.5933523888471882,True
arithmetic_5,Arithmetic,5,12,1.0013351134846462,1.0325395521797989,1.0161395338140322,1.008037466473361,1.0661379268156594,0.013906696613606015,True
arithmetic_10,Arithmetic,10,25,1.0013351134846462,1.0689866574815525,1.0339181096593446,1.0168176383498393,1.142732473873582,0.028972284611679125,True
arithmetic_20,Arithmetic,20,50,1.0013351134846462,1.142732473873582,1.0689866574815525,1.0339181096593446,1.3058375068452368,0.057944569223358215,True
arithmetic_50,Arithmetic,50,125,1.0013351134846462,1.3959228716565337,1.1814917992337204,1.0869644884878809,1.9486006636138233,0.14486142305839558,True
arithmetic_100,Arithmetic,100,250,1.0013351134846462,1.9486006636138233,1.3959228716565337,1.1814917992337204,3.7970445462362323,0.2897228461167911,True
oracle_10,Oracle,10,30,1.0013351134846462,1.0833448959359229,1.040838554212863,1.0202149549055155,1.1736361635504158,0.0347667415340149,True
oracle_25,Oracle,25,75,1.0013351134846462,1.221565767641746,1.105244664154388,1.051306170510945,1.492222924674168,0.08691685383503735,True
oracle_40,Oracle,40,120,1.0013351134846462,1.3774218443933381,1.1736361635504158,1.0833448959359229,1.8972909374119458,0.13906696613605973,True
oracle_75,Oracle,75,225,1.0013351134846462,1.8228484424722113,1.3501290465996987,1.1619505353498052,3.322776444223367,0.260750561505112,True
oracle_100,Oracle,100,300,1.0013351134846462,2.226729256923128,1.492222924674168,1.221565767641746,4.958323183637425,0.34766741534014933,True
oracle_150,Oracle,150,450,1.0013351134846462,3.322776444223367,1.8228484424722113,1.3501290465996987,11.040843298285683,0.521501123010224,True
oracle_200,Oracle,200,600,1.0013351134846462,4.958323183637425,2.226729256923128,1.492222924674168,24.584968793396374,0.6953348306802987,True
bv_14,Bernstein-Vazirani,14,28,1.0013351134846462,1.0775786019015305,1.038064835114614,1.0188546682989748,1.1611756432760574,0.032448958765080575,True
