circuit_name,qubits,gates_K,log10_C_original
hidden_shift_256,256,1024,1.1867047776943764
hidden_shift_512,512,2048,2.373409555388753
hidden_shift_768,768,3072,3.5601143330831295
hidden_shift_1024,1024,4096,4.746819110777506
qaoa_12,12,48,0.05562678645442385
qaoa_27,27,108,0.12516026952245377
qaoa_53,53,212,0.24568497350703888
qaoa_105,105,420,0.4867343814762091
qaoa_127,127,508,0.5887168233093196
qaoa_200,200,800,0.9271131075737317
mod5_16,16,64,0.0741690486058985
mod5_32,32,128,0.14833809721179708
mod5_48,48,192,0.2225071458176956
mod5_65,65,260,0.3013117599614628
mod5_80,80,320,0.3708452430294926
mod5_96,96,384,0.4450142916353912
mod5_112,112,448,0.5191833402412896
mod5_128,128,512,0.5933523888471882
arithmetic_5,5,12,0.013906696613606015
arithmetic_10,10,25,0.028972284611679125
arithmetic_20,20,50,0.057944569223358215
arithmetic_50,50,125,0.14486142305839558
arithmetic_100,100,250,0.2897228461167911
oracle_10,10,30,0.0347667415340149
oracle_25,25,75,0.08691685383503735
oracle_40,40,120,0.13906696613605973
oracle_75,75,225,0.260750561505112
oracle_100,100,300,0.34766741534014933
oracle_150,150,450,0.521501123010224
oracle_200,200,600,0.6953348306802987
bv_14,14,28,0.032448958765080575
