circuit_name,nodes,edges,flow_exists,extraction_complexity,trace_exp_NC,has_inverse
hidden_shift_256,522,266.0,False,#P-hard (exponential),1.196167623773035e+36,True
mod5_48,106,58.0,False,#P-hard (exponential),-11783262271934.2,True
qaoa_27,64,37.0,False,#P-hard (exponential),25322400096.642235,True
qaoa_127,264,137.0,False,#P-hard (exponential),1.0673763983754554e+23,True
qaoa_53,116,63.0,False,#P-hard (exponential),43572318786282.016,True
mod5_32,74,42.0,False,#P-hard (exponential),2595125452059.343,False
arithmetic_50,110,60.0,False,#P-hard (exponential),1.624383250368873e+17,True
hidden_shift_768,1546,778.0,False,#P-hard (exponential),1.3577182943794062e+91,True
oracle_25,60,35.0,False,#P-hard (exponential),-24721249850.212505,True
qaoa_105,220,115.0,False,#P-hard (exponential),5.125098421872662e+19,True
qaoa_12,34,22.0,False,#P-hard (exponential),9214664855.981691,False
oracle_10,30,20.0,False,#P-hard (exponential),1603503.6658073205,False
arithmetic_100,210,110.0,False,#P-hard (exponential),2.439617030092156e+22,True
mod5_96,202,106.0,False,#P-hard (exponential),3.3248029131481796e+20,True
mod5_16,42,26.0,False,#P-hard (exponential),565885.9402603484,False
oracle_200,410,210.0,False,#P-hard (exponential),1.2293350184804987e+29,True
arithmetic_20,50,30.0,False,#P-hard (exponential),367308715.0825574,False
qaoa_200,410,210.0,False,#P-hard (exponential),3.620829927404203e+31,True
arithmetic_5,20,15.0,False,#P-hard (exponential),-4867008.54213051,False
oracle_150,310,160.0,False,#P-hard (exponential),3.516533944215191e+25,True
arithmetic_10,30,20.0,False,#P-hard (exponential),2047482.9550134237,False
mod5_112,234,122.0,False,#P-hard (exponential),1.9618379576598344e+19,True
hidden_shift_512,1034,522.0,False,#P-hard (exponential),9.263632061660247e+72,True
oracle_40,90,50.0,False,#P-hard (exponential),188310890178.3675,True
hidden_shift_1024,2058,1034.0,False,#P-hard (exponential),4.7030839597482763e+111,True
oracle_100,210,110.0,False,#P-hard (exponential),6.604988874730207e+17,True
mod5_65,140,75.0,False,#P-hard (exponential),1.8347588957814964e+16,True
mod5_80,170,90.0,False,#P-hard (exponential),8.24919430632041e+18,True
mod5_128,266,138.0,False,#P-hard (exponential),3.842199927101987e+24,True
oracle_75,160,85.0,False,#P-hard (exponential),3.280621796866783e+18,True
bv_14,38,24.0,False,#P-hard (exponential),5795031927.413565,False
